Province_State,Country_Region,Confirmed
Alabama,US,374095
Alaska,US,48382
American Samoa,US,0
Arizona,US,561542
Arkansas,US,234781
California,US,2550314
Colorado,US,343435
Connecticut,US,194636
Delaware,US,60333
District of Columbia,US,29904
Florida,US,1376692
Georgia,US,696063
Guam,US,7344
Hawaii,US,22602
Idaho,US,143305
Illinois,US,984880
Indiana,US,529688
Iowa,US,286356
Kansas,US,234069
Kentucky,US,279142
Louisiana,US,322181
Maine,US,25967
Maryland,US,287802
Massachusetts,US,392568
Michigan,US,543611
Minnesota,US,423688
Mississippi,US,223677
Missouri,US,454015
Montana,US,82664
Nebraska,US,169585
Nevada,US,233032
New Hampshire,US,47870
New Jersey,US,547247
New Mexico,US,147315
New York,US,1035139
North Carolina,US,570111
North Dakota,US,93240
Northern Mariana Islands,US,122
Ohio,US,727423
Oklahoma,US,307091
Oregon,US,118453
Pennsylvania,US,673448
Puerto Rico,US,78805
Rhode Island,US,92708
South Carolina,US,325472
South Dakota,US,100643
Tennessee,US,607071
Texas,US,1858833
Utah,US,285633
Vermont,US,7873
Virgin Islands,US,2055
Virginia,US,367536
Washington,US,256435
West Virginia,US,91886
Wisconsin,US,527871
Wyoming,US,45257
